category,type,value,tags,role
name,person,Amy,,identity
name,person,Ben,,identity
name,person,Cara,,identity
name,person,Dan,,identity
name,person,Ella,,identity
name,person,Finn,,identity
name,person,Gina,,identity
name,person,Hugo,,identity
name,person,Ivy,,identity
name,person,Jack,,identity
name,person,Kara,,identity
name,person,Liam,,identity
name,person,Maya,,identity
name,person,Noah,,identity
name,person,Olivia,,identity
name,person,Paul,,identity
name,person,Quinn,,identity
name,person,Ryan,,identity
name,person,Sara,,identity
name,person,Tom,,identity
name,person,Uma,,identity
name,person,Vera,,identity
name,person,Will,,identity
name,person,Xena,,identity
name,person,Yara,,identity
name,person,Zane,,identity
name,person,Aiden,,identity
name,person,Bella,,identity
name,person,Caleb,,identity
name,person,Daisy,,identity
name,person,Ethan,,identity
name,person,Freya,,identity
name,person,George,,identity
name,person,Hazel,,identity
name,person,Isaac,,identity
name,person,Jade,,identity
name,person,Kai,,identity
name,person,Luna,,identity
name,person,Milo,,identity
name,person,Nora,,identity
name,person,Owen,,identity
name,person,Piper,,identity
name,person,Riley,,identity
name,person,Seth,,identity
name,person,Tara,,identity
name,person,Victor,,identity
name,person,Wendy,,identity
name,person,Zoe,,identity
job,profession,Chef,,identity
job,profession,Artist,,identity
job,profession,Teacher,,identity
job,profession,Pilot,,identity
job,profession,Doctor,,identity
job,profession,Engineer,,identity
job,profession,Writer,,identity
job,profession,Designer,,identity
job,profession,Programmer,,identity
job,profession,Musician,,identity
job,profession,Photographer,,identity
job,profession,Nurse,,identity
job,profession,Lawyer,,identity
job,profession,Scientist,,identity
job,profession,Carpenter,,identity
job,profession,Mechanic,,identity
job,profession,Architect,,identity
job,profession,Farmer,,identity
job,profession,Dentist,,identity
job,profession,Journalist,,identity
job,profession,Firefighter,,identity
job,profession,Police Officer,,identity
job,profession,Electrician,,identity
job,profession,Plumber,,identity
job,profession,Tailor,,identity
job,profession,Baker,,identity
job,profession,Driver,,identity
job,profession,Gardener,,identity
job,profession,Barber,,identity
job,profession,Veterinarian,,identity
country,location,USA,,identity
country,location,Canada,,identity
country,location,Brazil,,identity
country,location,UK,,identity
country,location,France,,identity
country,location,Germany,,identity
country,location,Italy,,identity
country,location,Spain,,identity
country,location,Japan,,identity
country,location,China,,identity
country,location,India,,identity
country,location,Australia,,identity
country,location,Mexico,,identity
country,location,Norway,,identity
country,location,Sweden,,identity
country,location,Finland,,identity
country,location,Netherlands,,identity
country,location,Belgium,,identity
country,location,Argentina,,identity
country,location,Chile,,identity
country,location,Denmark,,identity
country,location,Poland,,identity
country,location,Portugal,,identity
country,location,Greece,,identity
country,location,Ireland,,identity
country,location,Iceland,,identity
country,location,Austria,,identity
country,location,Switzerland,,identity
country,location,Turkey,,identity
country,location,South Korea,,identity
animal,wild,Dog,,object
animal,wild,Cat,,object
animal,wild,Bird,,object
animal,wild,Fish,,object
animal,wild,Hamster,,object
animal,wild,Turtle,,object
animal,wild,Rabbit,,object
animal,wild,Parrot,,object
animal,wild,Snake,,object
animal,wild,Horse,,object
animal,wild,Cow,,object
animal,wild,Goat,,object
animal,wild,Sheep,,object
animal,wild,Lion,,object
animal,wild,Tiger,,object
animal,wild,Bear,,object
animal,wild,Frog,,object
animal,wild,Duck,,object
animal,wild,Lizard,,object
animal,wild,Fox,,object
animal,wild,Wolf,,object
animal,wild,Deer,,object
animal,wild,Panda,,object
animal,wild,Otter,,object
animal,wild,Koala,,object
animal,wild,Seal,,object
animal,wild,Monkey,,object
animal,wild,Elephant,,object
animal,wild,Zebra,,object
animal,wild,Kangaroo,,object
drink,beverage,Tea,,object
drink,beverage,Coffee,,object
drink,beverage,Juice,,object
drink,beverage,Milk,,object
drink,beverage,Water,,object
drink,beverage,Soda,,object
drink,beverage,Lemonade,,object
drink,beverage,Hot Chocolate,,object
drink,beverage,Smoothie,,object
drink,beverage,Iced Tea,,object
drink,beverage,Cola,,object
drink,beverage,Energy Drink,,object
drink,beverage,Coconut Water,,object
drink,beverage,Apple Juice,,object
drink,beverage,Orange Juice,,object
drink,beverage,Latte,,object
drink,beverage,Mocha,,object
drink,beverage,Herbal Tea,,object
drink,beverage,Milkshake,,object
drink,beverage,Sparkling Water,,object
food,meal,Pizza,,object
food,meal,Burger,,object
food,meal,Pasta,,object
food,meal,Salad,,object
food,meal,Soup,,object
food,meal,Sandwich,,object
food,meal,Taco,,object
food,meal,Sushi,,object
food,meal,Steak,,object
food,meal,Fries,,object
food,meal,Rice,,object
food,meal,Noodles,,object
food,meal,Curry,,object
food,meal,Pancakes,,object
food,meal,Waffles,,object
food,meal,Donut,,object
food,meal,Cake,,object
food,meal,Pie,,object
food,meal,Ice Cream,,object
food,meal,Cookies,,object
color,visual,Red,,trait
color,visual,Blue,,trait
color,visual,Green,,trait
color,visual,Yellow,,trait
color,visual,Purple,,trait
color,visual,Orange,,trait
color,visual,Teal,,trait
color,visual,Pink,,trait
color,visual,Cyan,,trait
color,visual,Magenta,,trait
color,visual,Indigo,,trait
color,visual,Violet,,trait
color,visual,Amber,,trait
color,visual,Turquoise,,trait
color,visual,Crimson,,trait
color,visual,Scarlet,,trait
color,visual,Navy,,trait
color,visual,Olive,,trait
color,visual,Gold,,trait
color,visual,Silver,,trait
hobby,activity,Reading,,object
hobby,activity,Gaming,,object
hobby,activity,Cycling,,object
hobby,activity,Hiking,,object
hobby,activity,Painting,,object
hobby,activity,Cooking,,object
hobby,activity,Fishing,,object
hobby,activity,Running,,object
hobby,activity,Swimming,,object
hobby,activity,Gardening,,object
hobby,activity,Knitting,,object
hobby,activity,Photography,,object
hobby,activity,Traveling,,object
hobby,activity,Writing,,object
hobby,activity,Dancing,,object
hobby,activity,Singing,,object
hobby,activity,Yoga,,object
hobby,activity,Chess,,object
hobby,activity,Drawing,,object
hobby,activity,Coding,,object
vehicle,transport,Car,,object
vehicle,transport,Bike,,object
vehicle,transport,Bus,,object
vehicle,transport,Train,,object
vehicle,transport,Boat,,object
vehicle,transport,Plane,,object
vehicle,transport,Scooter,,object
vehicle,transport,Truck,,object
vehicle,transport,Helicopter,,object
vehicle,transport,Submarine,,object
vehicle,transport,Van,,object
vehicle,transport,Taxi,,object
vehicle,transport,Skateboard,,object
vehicle,transport,Rollerblades,,object
vehicle,transport,Jet,,object
vehicle,transport,Ship,,object
vehicle,transport,Motorcycle,,object
vehicle,transport,Tractor,,object
vehicle,transport,Cable Car,,object
vehicle,transport,Ferry,,object
